Gene,Sex,Age,Treatment
F_E18_1,F,E18,N
M_E18_1,M,E18,N
F_E18_3,F,E18,N
M_E18_4,M,E18,N
F_P14_1,F,P14,N
F_P14_2,F,P14,N
F_P14_3,F,P14,N
F_P14_4,F,P14,N
F_P14_5,F,P14,N
F_P14_6,F,P14,N
F_P14_7,F,P14,N
F_P14_8,F,P14,N
F_P14_9,F,P14,N
F_P14_10,F,P14,N
M_P4_1,M,P4,N
F_P4_2,F,P4,N
F_P4_3,F,P4,N
F_P4_4,F,P4,N
F_P60_S_1,F,P60_S,S
F_P60_S_2,F,P60_S,S
F_P60_S_3,F,P60_S,S
F_P60_S_4,F,P60_S,S
F_P60_S_5,F,P60_S,S
M_P60_S_5,M,P60_S,S
F_P60_S_7,F,P60_S,S
F_E18_2,F,E18,N
M_E18_2,M,E18,N
M_E18_3,M,E18,N
M_P14_1,M,P14,N
M_P14_2,M,P14,N
M_P14_3,M,P14,N
M_P14_4,M,P14,N
M_P14_5,M,P14,N
M_P14_6,M,P14,N
M_P14_7,M,P14,N
M_P14_8,M,P14,N
M_P14_9,M,P14,N
M_P14_10,M,P14,N
F_P4_1,F,P4,N
M_P4_2,M,P4,N
M_P4_3,M,P4,N
M_P4_4,M,P4,N
M_P60_S_1,M,P60_S,S
M_P60_S_2,M,P60_S,S
M_P60_S_3,M,P60_S,S
M_P60_S_4,M,P60_S,S
F_P60_S_6,F,P60_S,S
