Gene,Sex,Treatment
F_P60_L_1,Female,LPS
F_P60_L_2,Female,LPS
M_P60_L_2,Male,LPS
F_P60_L_4,Female,LPS
F_P60_L_5,Female,LPS
F_P60_L_6,Female,LPS
M_P60_L_7,Male,LPS
F_P60_S_1,Female,Sal
F_P60_S_2,Female,Sal
F_P60_S_3,Female,Sal
F_P60_S_4,Female,Sal
F_P60_S_5,Female,Sal
M_P60_S_5,Male,Sal
F_P60_S_7,Female,Sal
M_P60_L_1,Male,LPS
F_P60_L_3,Female,LPS
M_P60_L_3,Male,LPS
M_P60_L_4,Male,LPS
M_P60_L_5,Male,LPS
M_P60_L_6,Male,LPS
M_P60_S_1,Male,Sal
M_P60_S_2,Male,Sal
M_P60_S_3,Male,Sal
M_P60_S_4,Male,Sal
F_P60_S_6,Female,Sal
